m_id,first_name,last_name,email,Gender,Country,Applications2014,Member_Type,Length_Months
2353505,Sana'a,Gala,yo@example.com,Female,AUS,149,Talent,23
2448540,Galina,Zaitia,linka@example.ru,Female,UK,NULL,Talent,23
2427960,Della,Braun,missd@example.co.uk,Female,UK,8,Talent,23
1885115,Jennifer,Rose,jennifer.rose@example.com,Female,US,1,Talent,12
2198882,Eloise,*,helenek@example.com,Female,AUS,59,Talent,12
1956375,Lyn,McHughes,lyn@example.co.nz,Female,NZ,NULL,Talent,12
902570,"Ian""Sheepie""",Smythe,sheepie@example.co.uk,Male,UK,NULL,Talent,18
1834416,Charlotte,Cooper-Mencha,charlotte@example.com,Female,UK,16,Talent,18
1638723,Debbie,Gordon,debbie@example.com,Female,UK,7,Talent,18
763791,Nina,Benvenuti,nina@example.com,Female,AUS,2,Talent,18
728947,"Amanda""Harper""",Kannegi,a_kannegi@example.com,Female,AUS,45,Talent,18
548803,JAMES,NORMAN,jamesnorman@example.com,Male,UK,NULL,Talent,18
3053858,Felipe,Matteiu,matteiu@example.com,Male,UK,109,Hybrid,12
